,Address,PlanYear,Project,IDISProjectId,IDISActivityID,Status,StatusDate,InitialFundingDate,FundedAmount,Description
15,UNKNOWN ADDRESS,1997,HOUSING,4,158,Completed,9/5/2000,07/01/1997,25238.52,THE INSTALLATION OF HEATERS FOR HOMES WHO DO NOT HAVE ADEQUATE HEATING SYSTEM AND THE PERSONS IS LOW AND MODERATE INCOME.
16,UNKNOWN ADDRESS,1997,PUBLIC FACILITIES,5,159,Completed,8/28/2000,07/01/1997,29079.75,THE DEVELOPMENT AND CONSTRUCTION OF STREETSCAPING OF THEHARLEM BUSINESS DISTRICT.
17,UNKNOWN ADDRESS,1997,PUBLIC FACILITIES,5,160,Completed,9/5/2000,07/01/1997,465920.25,THE ACQUISITION OF 102 HOUSING UNITS WHICH HOUSES LOW AND MODERATE INCOME PERSONS.
18,2400 GILLIONVILLE RD,1997,PUBLIC SERVICE,6,162,Completed,9/25/1999,07/01/1997,8500.0,TO PROVIDE A CONCERT OF POPULAR MUSIC FOR FAMILIES ANDPERSONS IN A LOW AND MODERATE INCOME AREA AND FOR ARTISTICEXPOSURE FOR CHILDREN.
19,200 MOULTRIE RD,1997,PUBLIC SERVICE,6,163,Completed,4/4/2000,07/01/1997,9946.53, 
20,2215 S MADISON ST,1997,PUBLIC SERVICE,6,164,Completed,4/4/2000,10/21/1997,15000.0, 
21,712 W BROAD AVE,1997,PUBLIC SERVICE,6,165,Completed,4/4/2000,08/15/1997,10556.54,TO PROVIDE A SENIOR ADULT DAY CARE PROGRAM FOR LOW ANDMODERATE INCOME SENIOR ADULTS.
22,400 W HIGHLAND AVE,1997,PUBLIC SERVICE,6,166,Completed,9/29/1999,08/20/1997,15000.0, 
23,141 N SLAPPEY BLVD,1997,PUBLIC SERVICE,6,167,Completed,4/4/2000,07/01/1998,14955.33,INFORMATION AND EMOTIONAL SUPPORT TO LOW AND MODERATE INCOME PARENTS OF CHILDREN AND ADULTS WITH DISABILITIES.
24,225 S JACKSON ST,1997,PUBLIC SERVICE,6,168,Completed,9/25/1999,08/20/1997,12145.84,TO PROVIDE PROGRAMS DESIGNED FOR YOUTH IN LOW AND MODERATEINCOME FAMILIES WITH EDUCATIONAL AND CULTURAL EXPERIENCES.
25,127 WHITTLESEY CT,1997,PUBLIC SERVICE,6,169,Completed,9/25/1999,07/01/1997,8250.0,TO EMPOWER YOUTH THROUGH PROVISION OF SUPPORT SERVICES THAT CONTINUE AND IMPROVE ACADEMIC SOCIAL AND CHARACTERDEVELOPMENT OF YOUTH FOR LOW AND MODERATE INCOME FAMILIES.
26,1100 JORDAN ST,1997,PUBLIC SERVICE,6,171,Completed,8/3/2000,07/01/1998,6792.25,THE JACKSON HEIGHTS CHILD DEVELOPMENT CENTER PROVIDES CHILD CARE AND DEVELOPMENT SERVICES FOR LOW AND MODERATE INCOME FAMILIES.
27,SUPPRESSED,1997,PUBLIC SERVICE,6,172,Completed,9/25/1999,07/01/1997,23250.0,TO PROVIDE ASSISTANCE FOR PERSONS WITH HIVAIDS.
28,230 S JACKSON ST STE 315,1997,ADMINISTRATION,1,174,Completed,9/25/1999,07/01/1997,10000.22, 
29,230 S JACKSON ST STE 315,1997,ADMINISTRATION,1,175,Completed,9/25/1999,07/01/1997,35000.0, 
30,230 S JACKSON ST STE 315,1997,ADMINISTRATION,1,176,Completed,9/25/1999,07/01/1997,20000.0, 
31,WHITNEY AVENUE,1997,HISTORIC PRESERVATION,10,182,Completed,9/25/1999,11/24/1997,250000.0, 
32,400 W HIGHLAND AVE,1997,PUBLIC FACILITIES,5,183,Completed,9/25/1999,11/24/1997,10000.0,THE REPLACEMENT OF A ROOF AT 400 HIGHLAND AVENUE FOR ASUBRECIPIENT.
33,UNKNOWN ADDRESS,1998,DISPOSITION,1,185,Completed,9/5/2000,07/01/1998,50000.0,THE MAINTENANCE OF VACANT LOTS AND STRUCTURES OWNED BY THECITY OF ALBANY.
34,"200 HIGHLAND, 300 HIGHLAND, 200 WHITNEY, 200 WHITNEY, 300 SOUTH JACKSON, 200 SOUTH WASHINGTON, 300 SOUTH WASHINTON",1998,PUBLIC FACILITIES,2,186,Completed,5/9/2001,07/01/1998,12387.44,IMPLEMENT OF STREET SCAPE PLAN FOR HARLEM BUSINESS DISTRICT.
35,"300 EBONY LANE, 400 EBONY LANE, 200 HICKORY LANE AND 300 HICKORY LANE",1998,PUBLIC FACILITIES,2,187,Completed,9/5/2000,07/01/1998,104079.75, 
36,UNKNOWN ADDRESS,1998,HOUSING,3,188,Completed,9/19/2000,07/01/1998,206149.36,THE REHABILITATION OF SINGLE-FAMILY UNITS FOR LOW AND MODERATE INCOME PERSONS.
37,UNKNOWN ADDRESS,1998,HOUSING,3,189,Completed,9/6/2000,07/01/1998,13676.08,THE INSTALLATION OF HEATERS FOR LOW INCOME PERSONS WHODO NOT HAVE A HEATING SYSTEM OR THE HEATING SYSTEM DOES NOT WORK.
38,230 S JACKSON ST STE 315,1998,ADMINISTRATION,4,190,Completed,9/5/2000,07/01/1998,373078.43, 
39,230 S JACKSON ST STE 315,1998,ADMINISTRATION,4,191,Completed,9/6/2000,07/01/1998,9541.67, 
40,230 S JACKSON ST STE 315,1998,ADMINISTRATION,4,192,Completed,9/29/1999,07/01/1998,61059.06, 
41,UNKNOWN ADDRESS,1998,ADMINISTRATION,4,193,Completed,5/9/2001,07/01/1998,10293.0,THE OPERATION OF THE FAIR HOUSING PROGRAM.
42,230 S JACKSON ST,1998,ECONOMIC DEVELOPMENT,5,194,Completed,9/6/2000,07/01/1998,291978.97,THE CITY OF ALBANY BUSINESS AND TECHNOLOGY CENTER PROVIDESTECHNICAL AND OTHER FORMS OF SUPPORT TO BUSINESS LOCATED IN CENTER.
43,UNKNOWN ADDRESS,1998,PUBLIC SERVICE,6,195,Completed,8/3/2000,07/01/1998,92612.65,THE PROVIDING OF JOBS FOR YOUTH DURING THE SUMMER OF 1998.
44,UNKNOWN ADDRESS,1998,HAMPTON EAST PROJECT,8,196,Completed,9/28/2002,07/01/1998,755625.1,THE CONSTRUCTION OF 27 DUPLEXES (54 UNITS) AND 70 SINGLE- FAMILY UNITS FOR HOME OWNERSHIP.
45,425 W SOCIETY AVE,1998,PUBLIC SERVICE,6,197,Completed,9/5/2001,09/21/1998,10000.0,THE OPERATION OF A SHELTER FOR HOMELESS WOMEN AND THEIR CHILDREN.
46,2115 S MADISON ST,1998,PUBLIC SERVICE,6,198,Completed,8/3/2000,09/15/1998,15000.0, 
47,400 W HIGHLAND AVE,1998,PUBLIC SERVICE,6,199,Completed,9/5/2001,10/12/1998,19933.86,THE PROGRAM IS A DAY CARE FOR SENIOR ADULTS WHO NEEDREHABILITATION SERVICES
48,801 GAINES AVE,1998,PUBLIC SERVICE,6,200,Completed,9/27/2001,07/01/1998,52213.89,EMERGENCY SHELTER PROGRAM FOR HOMELESS FAMILIES
49,UNKNOWN ADDRESS,1998,PUBLIC SERVICE,6,201,Completed,8/3/2000,10/01/1998,20000.0,TO PROVIDE PROGRAMS FOR YOUTH IN THE ENTERPRISE COMMUNITY TARGET AREA.
50,SUPPRESSED,1998,PUBLIC SERVICE,6,202,Completed,4/4/2000,10/01/1998,10499.29, 
51,321 W MERCER AVE,1998,PUBLIC SERVICE,6,204,Completed,8/3/2000,10/01/1998,13246.45,A PROGRAM FOR YOUTH.
52,225 S JACKSON ST,1998,PUBLIC SERVICE,6,205,Completed,9/29/1999,07/21/1998,15000.0,AFTERSCHOOL TUTORIAL AND CULTURAL ENRICHMENT ACTIVITIES FOR YOUTH.
53,1100 S MCKINLEY ST,1998,HISTORIC PRESERVATION,7,206,Completed,9/26/2003,01/11/1999,50350.0,THE FENCING OF THE UNION MEMORIAL HISTORICAL CEMETERY
54,100 W ROOSEVELT AVE,1998,HISTORIC PRESERVATION,7,207,Completed,10/24/2003,01/11/1999,116000.0,TO INSTALL A NEW ROOF ON THE MUSEUM.
55,230 S JACKSON ST STE 315,1998,PUBLIC SERVICE,6,208,Completed,9/19/2000,12/01/1998,26887.0,TO PROVIDE CASE MANAGEMENT TO RESIDENTS IN THE ENTERPRISE COMMUNITY AND OTHER PUBLIC SERVICES.
56,ADDRESS SUPPRESSED,1998,PUBLIC SERVICE,6,210,Completed,9/29/1999,11/30/1998,15000.0,TO PROVIDE EMERGENCY SHELTER FOR ABUSED AND BATTERED WOMENAND THEIR CHILDREN.
57,PO BOX 1436 304 2ND AVENUE,1998,PUBLIC SERVICE,6,213,Completed,8/3/2000,06/15/1999,25000.0,THE UTILITY ASSISTANCE FOR LOW AND VERY LOW INCOME RESIDENTSAND FOR HOMELESS PREVENT.
58,230 S JACKSON ST,1998,ECONOMIC DEVELOPMENT,5,214,Canceled,6/11/2001,07/01/1998,0.0,TO PROVIDE LONG-TERM FIXED ASSET LOANS.
59,230 S JACKSON ST,1998,ECONOMIC DEVELOPMENT,5,215,Canceled,5/10/2001,07/01/1998,0.0,TO ASSIST START-UP AND EXISTING BUSINESSES.
60,230 S JACKSON ST,1998,ECONOMIC DEVELOPMENT,5,216,Canceled,6/11/2001,07/01/1998,0.0, 
61,222 PINE AVE,1998,HISTORIC PRESERVATION,7,217,Completed,9/5/2001,02/23/1998,15000.0,THE DEVELOPMENT OF DESIGN GUIDELINES FOR HISTORIC BUILDINGAND AREAS.
62,320 W 2ND AVE,1998,PUBLIC SERVICE,6,218,Completed,5/10/2001,12/28/1998,29947.28,TO PROVIDE EMERGENCY SERVICES FOR PERSONS IN SOUTH ALBANY.
63,225 W BROAD AVE,1998,ECONOMIC DEVELOPMENT,5,219,Completed,9/29/1999,07/01/1998,14515.47,TO BRING COMMERCIAL BUSINESSES TO THE CITY OF ALBANY.
64,217 W OGLETHORPE BLVD,1998,ECONOMIC DEVELOPMENT,5,220,Completed,5/10/2001,06/17/1999,28512.14,TO PROVIDE CONSULATION SERVICES FOR JOB DEVELOPMENT AND JOB PLACEMENT
65,230 S JACKSON ST,1998,ECONOMIC DEVELOPMENT,5,221,Completed,8/3/2000,07/01/0098,40000.0, 
66,230 S JACKSON ST,1998,ECONOMIC DEVELOPMENT,5,222,Completed,8/3/2000,07/01/1998,23031.14, 
67,SCATTER SITES,1999,DISPOSITION,1,223,Completed,9/19/2000,07/01/1999,150118.4, 
68,230 S JACKSON ST,1999,ECONOMIC DEVELOPMENT,2,224,Completed,9/19/2000,07/01/1999,252700.98, 
69,230 S JACKSON ST,1999,ECONOMIC DEVELOPMENT,2,225,Completed,9/28/2002,07/01/1999,733404.59,A CDC THAT PROVIDE LOANS AND OTHER ASSISTANCE TO MICRO- BUSINESSES IN SOUTH ALBANY AND THE CITY OF ALBANY.
70,UNKNOWN ADDRESS,1999,HOUSING,3,226,Completed,9/19/2000,07/01/1999,186651.23, 
71,UNKNOWN ADDRESS,1999,PUBLIC FACILITIES,4,227,Completed,9/5/2001,07/01/1999,4780.67, 
72,UNKNOWN ADDRESS,1999,EBONY AND HICKORY LANE,5,228,Completed,9/5/2001,07/01/1999,229393.48,THE ACQUISITION OF HOUSING ON THE 300 AND 400 BLOCK OFELBONY AND HICKORY LANES FOR THE REDEVELOPMENT OF THE AREA.
73,230 S JACKSON ST STE 315,1999,ADMINISTRATION,8,229,Completed,9/19/2000,07/01/1999,267402.45, 
74,2115 S MADISON ST,1999,PUBLIC SERVICE,6,231,Completed,9/5/2001,09/15/1999,9910.76, 
75,UNKNOWN ADDRESS,1999,PUBLIC SERVICE,6,232,Completed,9/5/2001,07/01/1999,15000.0, 
76,225 S JACKSON ST P.O. BOX 812,1999,PUBLIC SERVICE,6,233,Completed,9/5/2001,09/03/1999,20000.0, 
77,PO BOX 1470,1999,PUBLIC SERVICE,6,234,Completed,9/5/2001,09/07/1999,10000.0, 
78,UNKNOWN ADDRESS,1999,PUBLIC SERVICE,6,235,Completed,9/5/2001,03/23/2000,8500.0, 
79,410 S MCKINLEY ST,1999,PUBLIC SERVICE,6,236,Completed,9/5/2001,03/24/2000,24000.0,TO INCREASE THEIR HOURS TO PROVIDE DAY CARE SERVICES TO LOW AND MODERATE INCOME PERSONS.
80,UNKNOWN ADDRESS,1999,HOUSING,3,237,Completed,9/5/2001,04/07/2000,34663.2,THE ACQUISITION OF PROPERTY AS BUY-BACK 
81,UNKNOWN ADDRESS,1999,HOUSING,3,238,Completed,9/19/2000,04/07/2000,8647.8, 
82,UNKNOWN ADDRESS,1999,HOUSING,3,239,Completed,9/19/2000,04/07/2000,30296.6, 
83,UNKNOWN ADDRESS,1999,ECONOMIC DEVELOPMENT,2,240,Completed,5/10/2001,04/07/2000,210955.23, 
84,SCATTER SITES,1999,HISTORIC PRESERVATION,7,241,Completed,9/28/2002,04/07/2000,34000.0,HISTORIC AREA COMMISSION IS OPERATING THE HISTORICPRESERVATION PROGRAM THAT WILL PROVIDE LOW INTEREST LOANS TOHOMEOWNERS AND BUSINESSES TO IMPROVE THEIR STRUCTURE.
85,304 W 2ND AVE,1999,PUBLIC SERVICE,6,242,Completed,9/5/2001,04/07/2000,25000.0, 
86,314 N JEFFERSON ST,1999,PUBLIC SERVICE,6,243,Completed,9/5/2001,04/07/2000,10000.0,THE REHABILITATION OF A BUILDING TO INCREASE SPACE FORTHEIR ALZHEIMER DAYCARE PROGRAM 
87,ADDRESS SUPPRESSED,1999,PUBLIC SERVICE,6,244,Completed,9/17/2000,04/07/2000,10000.0, 
88,400 W HIGHLAND AVE,1999,PUBLIC SERVICE,6,245,Completed,9/27/2003,04/07/2000,24066.77, 
89,UNKNOWN ADDRESS,1999,PUBLIC SERVICE,6,246,Canceled,5/10/2001,04/07/2000,0.0, 
90,230 S JACKSON ST,1999,PUBLIC SERVICE,6,247,Completed,9/21/2002,04/07/2000,41938.46,THE OPERATION OF THE CITY OF ALBANY PUBLIC SERVICE PROGRAM.
91,SUPPRESSED,1999,PUBLIC SERVICE,6,248,Completed,9/5/2001,04/07/2000,25000.0, 
92,321 W MERCER AVE,1999,PUBLIC SERVICE,6,249,Completed,5/10/2001,04/07/2000,19282.13, 
93,230 S JACKSON ST,1999,ADMINISTRATION,8,250,Completed,9/19/2000,04/07/2000,16461.02, 
0,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,34,Completed,9/25/1999,07/01/1993,6631.38,PROGRAM TO INSTALL A RAMP AND GRAB BARS FOR DISABLED PERSONSWHO QUALIFY AS LOW TO MODERATE INCOME.
1,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,38,Completed,1/4/1999,07/01/1993,100000.0,A LONG-TERM FIXED ASSET LOAN PROGRAM FOR BUSINESSES AND INDUSTRIES THAT ARE LOCATED IN THE CITY OF ALBANY AND PROVIDES JOBS TO LOW AND MODERATE INCOME PERSONS.
2,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,62,Completed,7/1/1998,07/01/1994,0.0, 
3,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,63,Completed,7/1/1998,07/01/1994,0.0,THE DESIGN AND PARTIAL IMPLEMENTATION OF A STREET SCAPE PLAN FOR THE AREA.
4,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,65,Completed,1/4/1999,07/01/1994,18214.0, 
5,400 W HIGHLAND AVE,1994,CONVERTED CDBG ACTIVITIES,2,66,Completed,7/1/1998,07/01/1994,16084.23, 
6,UNKNOWN ADDRESS,1996,HOUSING,23,76,Completed,1/8/1999,07/01/1996,32391.54,INSTALL HEATERS INTO HOUSING THAT DO NOT HAVE HEATERS.
7,UNKNOWN ADDRESS,1996,DISPOSITION,2,77,Completed,1/7/1999,07/01/1996,181062.0,MAINTENANCE OF PROPERTIES OWNED BY THE CITY OF ALBANY COMMUNITY & ECONOMIC DEVELOPMENT DEPARTMENT
8,230 S JACKSON ST STE 315,1996,ADMINISTRATION,14,78,Completed,1/7/1999,07/01/1996,181511.52, 
9,UNKNOWN ADDRESS,1996,ECONOMIC DEVELOPMENT,22,79,Completed,7/1/1998,07/01/1996,44122.19,PROVIDE SUMMER EMPLOYMENT OPPORTUNITIES FOR ECONOMICALLYDISADVANTAGED YOUTH PEOPLE IN THE ENTERPRISE COMMUNITY.
10,230 S JACKSON ST,1996,ECONOMIC DEVELOPMENT,13,80,Completed,1/7/1999,07/01/1996,179476.74,DESIGNED TO PROVIDE TECHNICAL AND OTHER SERVICES A BUSINESS LOCATED IN THE INCUBATOR.
11,230 S JACKSON ST,1996,ADMINISTRATION,15,82,Completed,1/7/1999,07/01/1996,1057.22, 
12,230 S JACKSON ST,1996,ADMINISTRATION,16,83,Completed,1/7/1999,07/01/1996,28942.78, 
13,230 S JACKSON ST,1996,ADMINISTRATION,17,84,Completed,12/15/1998,07/01/1996,27000.0, 
14,801 GAINES AVE,1996,PUBLIC SERVICE,21,85,Completed,4/19/1999,08/01/1996,37024.07,PROVIDE TEMPORARY HOUSING FOR HOMELESS FAMILIES.
15,230 S JACKSON ST,1996,PUBLIC SERVICE,35,86,Completed,12/14/1998,07/01/1996,60000.0,DEPARTMENT OF COMMUNITY & ECONOMIC DEVELOPMENT PUBLIC SERVICE PROGRAM TO SERVED PUBLIC SERVICE AGENCIES AND CLIENTS.
16,UNKNOWN ADDRESS,1996,PUBLIC SERVICE,5,87,Completed,7/1/1998,07/01/1996,46916.0,THE PAYMENT OF UTILITY BILLS FOR EMERGENCY PURPOSES AND PRIORITY WILL BE GIVEN TO ELDERLY.
17,302 ADKINS ST,1996,PUBLIC SERVICE,28,90,Completed,3/31/2000,11/25/1996,9142.0,TO PROVIDE RENTAL ASSISTANCE.
18,2023 MARTIN LUTHER KING JR DR,1996,PUBLIC SERVICE,32,92,Completed,3/31/2000,09/20/1996,13889.37, 
19,129 WHITTLESEY CT,1996,PUBLIC SERVICE,34,94,Completed,1/7/1999,10/17/1996,15000.0,TO EMPOWER YOUTH THROUGH PROVISION OF SUPPORT SERVICESTHAT CONTINUE AND IMPROVE ACADEMIC SOCIAL AND CHARACTER DEVELOPMENT OF YOUTH FROM ECONOMICALLY DEPRIVED HOMES.
20,UNKNOWN ADDRESS,1996,ECONOMIC DEVELOPMENT,10,95,Completed,7/1/1998,07/01/1996,2277.52,FOR THE REIMBURSEMENT OF PAYROLL EXPENSES TO CONTRACTORSUSING TRANINEE FROM THE APPRENTICE PROGRAM AND PROVIDETRAINING FOR BANKTELLERS PROGRAM.
21,322 SOUTH JACKSON AND 1219 NEWTON RD.,1995,ACQUISITION,1,99,Completed,7/13/1998,07/01/1995,17156.17,THE ACQUISITION OF PROPERTIES
22,UNKNOWN ADDRESS,1995,DISPOSITION,2,100,Completed,1/7/1999,07/01/1995,12187.47, 
23,UNKNOWN ADDRESS,1995,DEMOLITION,3,102,Completed,7/1/1998,07/01/1995,0.0,DEMOLISH ABANDONED HOMES
24,"200-300 SOUTH WASHINGTON, 200-300 WHITNEY 300 SOUTH JACKSON 200-300 HIGHLAND",1995,PUBLIC FACILITIES,4,103,Completed,7/1/1998,07/01/1995,0.0,IMPLEMENT THE STREET SCAPE PLAN FOR THE HARLEM BUSINESS DISTRICT.
25,200 WHITNEY AVE,1995,RELOCATION,37,104,Completed,7/1/1998,07/01/1995,7015.45, 
26,UNKNOWN ADDRESS,1995,PUBLIC SERVICE,5,105,Completed,9/19/2001,07/01/1995,48271.78,PARTENTING AND SOCIAL SKILL CLASSES BY ASU SCHOOL OF SOCIAL WORK- INCORPORATE PARENTING AND SOCIAL SKILL CLASSES TO BECOME CERTIFIED CHILD CARE PROVIDERS.
27,714 W BROAD AVE,1995,PUBLIC SERVICE,15,109,Completed,7/1/1998,07/01/1995,4255.94,TO PROVIDE A SENIOR ADULT PROGRAM FOR LOW AND MODERATEINCOME SENIOR ADULTS.
28,UNKNOWN ADDRESS,1995,REHABILITATION,16,110,Completed,1/4/1999,07/01/1995,28514.0,THE REHABILITATION OF RENTAL HOUSING BY INVESTORS
29,UNKNOWN ADDRESS,1995,ECONOMIC DEVELOPMENT,20,111,Completed,7/1/1998,07/01/1995,40238.62,CREATE AN APPRENTICESHIP PROGRAM TO PROVIDE JOB TRAININGIN TRADITIONAL CRAFTSKILLS JOBS.
30,UNKNOWN ADDRESS,1995,ECONOMIC DEVELOPMENT,21,112,Completed,7/13/1998,07/01/1995,16587.6,ESTABLISH A NON-PROFIT ORGANIZATION TO COORDINATE BUSINESSASSISTANCE PROGRAMS FOR SMALL AND MINORITY BUSINESS
31,UNKNOWN ADDRESS,1995,ECONOMIC DEVELOPMENT,22,113,Completed,7/1/1998,07/01/1995,0.0,MICRO-BUSINESS LOW-INTEREST LOANS NEEDED BY SMALL BUSINESSESIN THE ENTERPRISE COMMUNITY TARGET AREA.
32,230 S JACKSON ST,1995,ECONOMIC DEVELOPMENT,23,114,Completed,1/4/1999,07/01/1995,57183.2,CITY OF ALBANY BUSINESS AND TECHNOLOGY CENTER PROVIDESTECHNICAL AND OTHER FORMS OF SUPPORT TO BUSINESS LOCATEDIN THE CENTER
33,UNKNOWN ADDRESS,1995,ADMINISTRATION,26,116,Completed,1/4/1999,07/01/1995,3850.17, 
34,UNKNOWN ADDRESS,1995,ADMINISTRATION,28,117,Completed,1/4/1999,07/01/1995,659.27, 
35,129 WHITTLESEY CT,1995,PUBLIC SERVICE,31,118,Completed,7/1/1998,07/01/1995,2020.74, 
36,2117 S MADISON ST,1995,PUBLIC SERVICE,32,119,Completed,7/1/1998,07/01/1995,1846.93, 
37,302 ADKINS ST,1995,PUBLIC SERVICE,34,120,Completed,7/1/1998,07/01/1995,13818.27,PROVIDE AFFORDABLE HOUSING FOR LOW AND MODERATE INCOMEPERSONS AND COMMUNITY DEVELOPMENT OUTREACH
38,UNKNOWN ADDRESS,1996,PUBLIC SERVICE,30,122,Completed,4/20/1999,07/01/1996,25000.0,A TRANSITONAL CENTER FOR YOUTH
39,230 S JACKSON ST,1996,REHABILITATION,7,123,Completed,1/7/1999,07/01/1996,43300.0,PROJECT COST FOR CDBG REHABILITATION PROJECTS
40,UNKNOWN ADDRESS,1995,HAVN,41,126,Completed,7/1/1998,07/01/1995,15625.0,TO PROVIDE NEEDED SERVICES FOR PERSONS WITH HIV AND AIDS.
41,UNKNOWN ADDRESS,1995,REHABILITATION,42,127,Completed,1/4/1999,07/01/1995,70000.0,THE REHABILITATION OF LOW AND MODERATE INCOME SINGLE FAMILY HOMES IN THE ENTERPRISE COMMUNITY TARGET AREA
42,230 S JACKSON ST,1995,ADMINISTRATION,27,128,Completed,1/7/1999,07/01/1995,2966.0, 
43,UNKNOWN ADDRESS,1996,ACQUISITION,1,132,Completed,8/3/2000,07/01/1996,72341.83,THE ACQUISITION OF PROPERTIES FOR REDEVELOPMENT OF THE AREA.
44,UNKNOWN ADDRESS,1996,DEMOLITION,3,133,Completed,7/1/1998,07/01/1996,0.0, 
45,UNKNOWN ADDRESS,1996,RELOCATION,20,135,Completed,3/23/2002,07/01/1996,7058.63,RELOCATION OF PERSONS AND PAYMENT TO PERSONS WHO WERE RELOCATED.
46,UNKNOWN ADDRESS,1996,REHABILITATION,6,136,Completed,9/25/1999,07/01/1996,20840.0,THE REHABILITATION OF RENTAL HOUSING BY INVESTOR.
47,ADDRESS SUPPRESSED,1996,PUBLIC SERVICE,29,139,Completed,4/20/1999,07/01/1996,15000.0, 
48,1100 CLARK AVE,1996,ECONOMIC DEVELOPMENT LOANS,36,142,Completed,9/29/1999,07/01/1996,55294.2,A FIXED-ASSET LOAN TO SUTTON FOR ACQUISITION OF EQUIPMENT AND INVENTORY.
49,1007 W GORDON AVE,1996,ECONOMIC DEVELOPMENT LOANS,36,143,Completed,1/7/1999,07/01/1996,42500.0, 
50,UNKNOWN ADDRESS,1996,ECONOMIC DEVELOPMENT LOANS,37,144,Completed,9/25/1999,07/01/1996,9163.01,COMMERCIAL FACADE PROGRAM
51,UNKNOWN ADDRESS,1996,ECONOMIC DEVELOPMENT LOANS,37,145,Completed,1/7/1999,07/01/1996,205659.93,SHORT-TERM LOANS TO ASSIST CONSTRUCTION CONTRACTORS TO BE ABLE TO BE COMPETITIVE IN THE BIDDING PROCESS.
52,230 S JACKSON ST STE 315,1997,ADMINISTRATION,1,150,Completed,4/20/1999,07/01/1997,347908.0, 
53,UNKNOWN ADDRESS,1997,DEMOLITION,2,151,Completed,9/19/2000,07/01/1997,124382.66,THE DEMOLITION OF SUBSTANDARD STRUCTURES.
54,230 S JACKSON ST,1997,ECONOMIC DEVELOPMENT,3,152,Completed,9/19/2000,07/01/1997,161259.64, 
